geoid,geoid20,year,denom_total_pop,american_indian_native_count,american_indian_native_pct,asian_count,asian_pct,black_count,black_pct,latino_count,latino_pct,native_hawaiian_other_count,native_hawaiian_other_pct,other_race_count,other_race_pct,pop_two_or_more_count,pop_two_or_more_pct,white_count,white_pct
1400000US06037104704,6037104704,2020,4525,0,0,68,1.5027624,395,8.7292814,3684,81.414368,0,0,0,0,119,2.6298342,259,5.7237568
1400000US06037104821,6037104821,2020,3268,0,0,95,2.9069767,69,2.1113832,2959,90.544678,0,0,0,0,35,1.0709914,110,3.365973
1400000US06037104822,6037104822,2020,2566,0,0,151,5.8846455,8,0.31176928,2309,89.984413,0,0,0,0,23,0.89633673,75,2.922837
1400000US06037104823,6037104823,2020,3526,0,0,362,10.266591,0,0,3083,87.436188,0,0,0,0,0,0,81,2.2972207
1400000US06037104824,6037104824,2020,2639,60,2.2735884,42,1.591512,19,0.71996969,2483,94.088669,0,0,0,0,0,0,35,1.32626
1400000US06037106010,6037106010,2020,3444,0,0,82,2.3809524,111,3.2229965,2403,69.773521,0,0,0,0,108,3.1358886,740,21.486643
1400000US06037106020,6037106020,2020,5154,0,0,67,1.2999612,14,0.27163368,4150,80.519981,0,0,10,0.19402406,54,1.04773,859,16.666666
1400000US06037106111,6037106111,2020,4428,0,0,372,8.4010839,189,4.2682929,2685,60.636856,0,0,0,0,25,0.56458896,1157,26.129177
1400000US06037106112,6037106112,2020,5214,0,0,428,8.2086687,204,3.9125431,3558,68.239357,38,0.72880703,0,0,75,1.438435,911,17.472191
1400000US06037106113,6037106113,2020,3712,28,0.75431037,239,6.4385777,142,3.8254311,2721,73.302803,2,0.053879309,0,0,9,0.2424569,571,15.382544
1400000US06037106114,6037106114,2020,6575,0,0,660,10.038023,159,2.418251,5416,82.372627,0,0,0,0,20,0.3041825,320,4.86692
1400000US06037106403,6037106403,2020,3486,0,0,8,0.22948939,47,1.3482502,3060,87.779694,54,1.5490533,38,1.0900745,0,0,279,8.0034428
1400000US06037106405,6037106405,2020,4404,0,0,57,1.2942779,294,6.6757493,3318,75.340599,0,0,0,0,69,1.5667574,666,15.122616
1400000US06037106406,6037106406,2020,6288,0,0,439,6.9815521,70,1.1132315,4367,69.449745,0,0,0,0,77,1.2245547,1335,21.230917
1400000US06037106407,6037106407,2020,2618,0,0,120,4.5836515,196,7.4866309,1977,75.515663,0,0,3,0.11459129,35,1.3368984,287,10.962566
1400000US06037106408,6037106408,2020,3822,0,0,112,2.930403,75,1.9623234,3451,90.293037,0,0,16,0.41862899,11,0.28780743,157,4.1077971
1400000US06037106510,6037106510,2020,6133,0,0,1252,20.414152,209,3.407794,3742,61.014187,0,0,7,0.11413664,57,0.92939836,866,14.120333
1400000US06037106520,6037106520,2020,5710,0,0,119,2.0840631,2,0.035026271,5193,90.945709,0,0,0,0,11,0.19264448,385,6.742557
1400000US06037106603,6037106603,2020,3658,0,0,654,17.878622,86,2.3510115,1032,28.212137,37,1.0114816,0,0,65,1.7769272,1784,48.769821
1400000US06037106604,6037106604,2020,4572,0,0,93,2.0341208,113,2.471566,4087,89.391953,0,0,68,1.4873141,1,0.021872265,210,4.5931759
1400000US06037106641,6037106641,2020,2271,0,0,289,12.725672,14,0.61646849,137,6.0325847,0,0,0,0,183,8.0581245,1648,72.567154
1400000US06037106642,6037106642,2020,3294,0,0,251,7.619915,144,4.3715849,788,23.922283,0,0,0,0,126,3.8251367,1985,60.261082
1400000US06037106643,6037106643,2020,4511,17,0.37685657,973,21.569496,15,0.33252051,593,13.145644,0,0,438,9.7095985,50,1.1084017,2425,53.757481
1400000US06037106645,6037106645,2020,4158,34,0.8177008,639,15.367966,47,1.1303512,918,22.077923,0,0,0,0,67,1.6113516,2453,58.994709
1400000US06037106646,6037106646,2020,3028,4,0.1321004,616,20.34346,161,5.3170409,943,31.142668,41,1.3540291,0,0,105,3.4676354,1158,38.243065
1400000US06037106648,6037106648,2020,4264,0,0,0,0,12,0.28142589,4115,96.50563,0,0,13,0.30487806,0,0,124,2.9080675
1400000US06037106649,6037106649,2020,2916,14,0.48010975,473,16.22085,49,1.680384,2109,72.325104,0,0,12,0.41152263,47,1.611797,212,7.2702332
1400000US06037107010,6037107010,2020,3243,6,0.18501388,37,1.1409189,11,0.33919209,3110,95.898857,0,0,0,0,12,0.37002775,67,2.0659883
1400000US06037107020,6037107020,2020,5759,0,0,322,5.5912485,9,0.15627714,5186,90.050354,0,0,0,0,25,0.43410313,217,3.7680154
1400000US06037108101,6037108101,2020,2303,0,0,477,20.712114,34,1.4763352,438,19.018671,0,0,6,0.26052976,45,1.9539731,1303,56.578377
1400000US06037108102,6037108102,2020,3327,0,0,1675,50.345657,106,3.1860535,218,6.5524497,0,0,0,0,48,1.4427412,1280,38.473099
1400000US06037108103,6037108103,2020,3082,14,0.45425048,751,24.367294,0,0,442,14.341337,16,0.5191434,6,0.19467878,180,5.8403635,1673,54.282932
1400000US06037108104,6037108104,2020,1818,0,0,452,24.862486,35,1.9251925,151,8.305831,0,0,0,0,5,0.27502751,1175,64.631462
1400000US06037108202,6037108202,2020,8148,60,0.736377,3001,36.831123,1722,21.13402,689,8.4560633,0,0,73,0.8959254,256,3.1418753,2347,28.804615
1400000US06037108203,6037108203,2020,3273,0,0,1392,42.529789,440,13.443324,216,6.5994501,0,0,0,0,201,6.1411548,1024,31.286282
1400000US06037108204,6037108204,2020,1893,0,0,911,48.124668,67,3.5393555,9,0.47543582,0,0,0,0,24,1.2678288,882,46.592709
1400000US06037109100,6037109100,2020,2647,7,0.26445031,363,13.713638,59,2.2289383,1421,53.683414,0,0,0,0,0,0,797,30.109558
1400000US06037109200,6037109200,2020,2746,0,0,834,30.371449,112,4.07866,1153,41.988346,0,0,0,0,13,0.47341588,634,23.088129
1400000US06037109300,6037109300,2020,2908,0,0,481,16.540577,19,0.65337002,1321,45.426411,0,0,42,1.4442916,59,2.0288858,986,33.906464
1400000US06037109400,6037109400,2020,4044,0,0,107,2.6458952,19,0.46983185,3254,80.46489,149,3.6844709,13,0.32146388,3,0.074183978,499,12.339268
1400000US06037109500,6037109500,2020,4720,0,0,170,3.6016948,4,0.084745765,4434,93.940681,0,0,0,0,0,0,112,2.3728814
1400000US06037109601,6037109601,2020,4877,0,0,302,6.1923313,38,0.77916753,3250,66.639328,0,0,7,0.14353086,184,3.7728112,1096,22.472832
1400000US06037109603,6037109603,2020,4233,0,0,524,12.378927,94,2.2206473,3015,71.226082,0,0,54,1.275691,18,0.42523032,528,12.473423
1400000US06037109604,6037109604,2020,3013,0,0,266,8.8284101,61,2.0245602,2064,68.503151,1,0.033189513,83,2.7547295,68,2.2568867,470,15.599071
1400000US06037109700,6037109700,2020,4787,0,0,585,12.220597,356,7.4368081,1824,38.103195,0,0,0,0,154,3.2170463,1868,39.02235
1400000US06037109800,6037109800,2020,5221,0,0,776,14.863053,65,1.2449722,2655,50.852325,0,0,0,0,107,2.0494158,1618,30.990232
1400000US06037111100,6037111100,2020,3156,4,0.12674271,672,21.292776,85,2.6932826,1323,41.920151,0,0,22,0.6970849,108,3.4220533,942,29.847908
1400000US06037111201,6037111201,2020,3459,0,0,515,14.888696,10,0.28910089,1450,41.919628,0,0,0,0,27,0.78057241,1457,42.122002
1400000US06037111202,6037111202,2020,5593,23,0.41122833,1172,20.954765,100,1.7879492,1829,32.701591,0,0,0,0,126,2.252816,2343,41.891651
1400000US06037111204,6037111204,2020,5909,17,0.28769672,1330,22.508039,180,3.0462008,1128,19.089525,0,0,9,0.15231003,314,5.3139281,2931,49.602303
1400000US06037111205,6037111205,2020,3905,0,0,1291,33.060181,163,4.1741357,779,19.948784,14,0.35851473,53,1.3572344,150,3.8412292,1455,37.259922
1400000US06037111206,6037111206,2020,4363,0,0,753,17.258766,32,0.73344028,1142,26.17465,0,0,6,0.13752006,217,4.9736419,2213,50.721981
1400000US06037111302,6037111302,2020,5253,6,0.11422045,1089,20.73101,442,8.4142399,1326,25.242718,5,0.095183708,0,0,172,3.2743194,2213,42.128307
1400000US06037111303,6037111303,2020,4835,0,0,1049,21.695967,66,1.3650465,1319,27.280249,0,0,0,0,151,3.1230609,2250,46.535679
1400000US06037111304,6037111304,2020,2752,0,0,601,21.838663,277,10.065407,1230,44.694767,0,0,38,1.380814,133,4.832849,473,17.1875
1400000US06037111401,6037111401,2020,2353,0,0,487,20.696983,0,0,697,29.621759,0,0,0,0,0,0,1169,49.681259
1400000US06037111402,6037111402,2020,6535,0,0,722,11.048202,391,5.9831676,2997,45.860748,0,0,21,0.32134658,14,0.21423106,2390,36.572304
1400000US06037113101,6037113101,2020,3590,0,0,498,13.871866,147,4.0947075,653,18.189415,0,0,0,0,87,2.4233983,2205,61.420612
1400000US06037113102,6037113102,2020,2783,0,0,393,14.121451,48,1.7247574,507,18.217751,0,0,0,0,30,1.0779734,1805,64.85807
1400000US06037113211,6037113211,2020,4264,0,0,650,15.243902,361,8.4662285,611,14.329268,0,0,0,0,112,2.6266418,2530,59.333958
1400000US06037113212,6037113212,2020,2998,11,0.36691126,904,30.153435,132,4.4029355,852,28.418945,0,0,8,0.26684457,83,2.7685122,1008,33.622414
1400000US06037113213,6037113213,2020,5652,56,0.99079973,1136,20.099079,290,5.1309271,1864,32.979477,0,0,39,0.69002122,435,7.6963906,1832,32.413303
1400000US06037113231,6037113231,2020,2275,0,0,239,10.505494,62,2.7252748,183,8.0439558,0,0,0,0,351,15.428572,1440,63.296703
1400000US06037113232,6037113232,2020,4394,0,0,637,14.497042,200,4.5516615,717,16.317705,0,0,11,0.25034139,301,6.8502502,2528,57.533001
1400000US06037113234,6037113234,2020,5400,0,0,967,17.907408,84,1.5555556,3034,56.185184,0,0,0,0,40,0.74074072,1275,23.611111
1400000US06037113235,6037113235,2020,1699,0,0,39,2.2954679,128,7.5338435,424,24.955856,0,0,52,3.0606239,172,10.123602,884,52.030605
1400000US06037113237,6037113237,2020,5004,0,0,546,10.911271,647,12.929656,1377,27.517986,0,0,32,0.6394884,393,7.8537169,2009,40.147881
1400000US06037113238,6037113238,2020,4313,0,0,811,18.803617,346,8.0222588,2487,57.66288,0,0,17,0.3941572,39,0.90424299,613,14.212845
1400000US06037113239,6037113239,2020,2183,20,0.91617042,311,14.246449,35,1.6032982,1412,64.681633,7,0.32065964,0,0,0,0,398,18.231791
1400000US06037113301,6037113301,2020,3972,0,0,781,19.662638,211,5.3121853,644,16.213495,45,1.1329305,0,0,7,0.17623363,2284,57.502518
1400000US06037113303,6037113303,2020,3779,17,0.44985446,579,15.321513,114,3.0166712,1076,28.473141,0,0,15,0.3969304,65,1.7200317,1913,50.621857
1400000US06037113322,6037113322,2020,4680,2,0.042735044,640,13.675214,545,11.645299,1297,27.713675,0,0,15,0.32051283,125,2.6709402,2056,43.931625
1400000US06037113323,6037113323,2020,4029,0,0,470,11.665425,235,5.8327127,1592,39.513527,57,1.4147431,0,0,118,2.9287665,1557,38.644825
1400000US06037113324,6037113324,2020,2844,0,0,404,14.205344,309,10.864979,1714,60.267231,0,0,0,0,17,0.59774965,400,14.064697
1400000US06037113423,6037113423,2020,3017,0,0,235,7.7891946,77,2.5522041,1721,57.043419,0,0,0,0,212,7.0268478,772,25.588333
1400000US06037113424,6037113424,2020,3493,0,0,636,18.207844,64,1.8322359,1536,43.973663,6,0.17177212,0,0,234,6.6991124,1017,29.115374
1400000US06037113425,6037113425,2020,4407,0,0,312,7.0796461,307,6.9661903,2836,64.352165,0,0,30,0.68073517,73,1.6564556,849,19.264807
1400000US06037113426,6037113426,2020,2414,0,0,608,25.186413,46,1.905551,889,36.826843,21,0.86992544,9,0.37282518,8,0.33140016,833,34.507042
1400000US06037113427,6037113427,2020,1770,0,0,371,20.960451,211,11.920904,642,36.271187,0,0,0,0,53,2.9943502,493,27.853107
1400000US06037113428,6037113428,2020,4237,0,0,449,10.59712,67,1.5813075,1346,31.767759,0,0,0,0,82,1.9353316,2293,54.118481
1400000US06037115101,6037115101,2020,4932,0,0,650,13.179237,241,4.886456,1072,21.735603,0,0,36,0.729927,312,6.3260341,2621,53.142742
