geoid,geoid20,year,denom_total_pop,american_indian_native_count,american_indian_native_pct,asian_count,asian_pct,black_count,black_pct,latino_count,latino_pct,native_hawaiian_other_count,native_hawaiian_other_pct,other_race_count,other_race_pct,pop_two_or_more_count,pop_two_or_more_pct,white_count,white_pct
1400000US06037240200,6037240200,2020,5523,83,1.5028064,80,1.4484881,1345,24.352707,3978,72.02607,0,0.0,0,0.0,0,0.0,37,0.66992575
1400000US06037240301,6037240301,2020,2881,10,0.34710169,52,1.8049289,1158,40.194378,1584,54.980911,0,0.0,0,0.0,8,0.27768135,69,2.3950016
1400000US06037240302,6037240302,2020,2811,0,0.0,0,0.0,479,17.040199,2330,82.888649,0,0.0,0,0.0,0,0.0,2,0.071149059
1400000US06037240401,6037240401,2020,6141,0,0.0,50,0.81419963,1119,18.221788,4932,80.312653,0,0.0,5,0.081419967,9,0.14655593,26,0.4233838
1400000US06037240402,6037240402,2020,3626,0,0.0,43,1.1858797,1060,29.233315,2420,66.740211,0,0.0,0,0.0,10,0.27578598,93,2.5648098
1400000US06037240500,6037240500,2020,7035,0,0.0,0,0.0,1741,24.74769,5218,74.171997,0,0.0,65,0.92395169,11,0.15636106,0,0.0
1400000US06037240600,6037240600,2020,5911,0,0.0,20,0.33835223,1593,26.949755,3866,65.403488,0,0.0,349,5.9042463,12,0.20301133,71,1.2011504
1400000US06037241001,6037241001,2020,4445,0,0.0,0,0.0,1421,31.968504,2974,66.906639,0,0.0,0,0.0,42,0.94488192,8,0.17997751
1400000US06037241110,6037241110,2020,3648,0,0.0,4,0.10964912,526,14.418859,3063,83.963814,0,0.0,0,0.0,40,1.0964912,15,0.41118422
1400000US06037241120,6037241120,2020,4389,0,0.0,107,2.4379129,938,21.371611,3248,74.003189,0,0.0,18,0.4101162,36,0.82023239,42,0.95693779
1400000US06037241201,6037241201,2020,3245,0,0.0,7,0.21571648,1173,36.147919,2016,62.126347,0,0.0,0,0.0,14,0.43143296,35,1.0785824
1400000US06037241202,6037241202,2020,5922,42,0.70921987,20,0.33772373,2347,39.631882,3292,55.589329,0,0.0,49,0.82742316,138,2.3302939,34,0.57413036
