,FIPS,Walkability,Percentage of without vehicle,geometry,Percentage of public transportation
10,06037106113,-2.181899,1.1,"POLYGON ((-118.432852239392 34.3109798745772, -118.427834238716 34.315452875176, -118.424337238142 34.3127488753177, -118.420785236562 34.3096928752475, -118.422072237653 34.3085448750874, -118.419700236779 34.3068448748233, -118.418565236205 34.3076718750507, -118.416898236332 34.3060958748959, -118.411232234942 34.3007288745006, -118.413005235218 34.2999088744558, -118.41357923492 34.2995738744158, -118.417151235178 34.2969568737049, -118.419528236386 34.2992238738427, -118.422439236602 34.3019568743219, -118.429469238597 34.3081828739845, -118.432852239392 34.3109798745772))",1.99
11,06037106604,-2.087084,6.2,"POLYGON ((-118.4895132487 34.3151068713202, -118.481077247175 34.3136948722992, -118.476555246497 34.3127518725225, -118.473020245721 34.3101128721971, -118.469337245227 34.3073008723183, -118.462276243547 34.3018568720866, -118.459005242185 34.2993228716151, -118.462406243061 34.2963188711684, -118.464792243393 34.2981628712575, -118.465979243564 34.2947518704822, -118.469886243869 34.2934618701749, -118.479538246469 34.3033768713003, -118.485173248286 34.3093118715296, -118.4895132487 34.3151068713202))",6.56
12,06037106407,-1.055599,20.2,"POLYGON ((-118.438783240586 34.3115258741696, -118.437292240545 34.3128528742882, -118.436422240111 34.3136718746201, -118.432852239392 34.3109798745772, -118.435284238916 34.3088178736997, -118.436775239932 34.3074908736451, -118.440273240456 34.3101988735331, -118.438783240586 34.3115258741696))",14.3
13,06037106403,-1.445598,4.7,"POLYGON ((-118.449725241655 34.3075918731197, -118.443766240907 34.3129028741468, -118.440273240456 34.3101988735331, -118.436775239932 34.3074908736451, -118.43328423878 34.3047908738694, -118.432875238736 34.3044298737895, -118.438833238812 34.299116872466, -118.440146239348 34.3001868725606, -118.444495240885 34.3035498726952, -118.446229240509 34.3048898734777, -118.449725241655 34.3075918731197))",0.45
14,06037106114,-1.157475,4.5,"POLYGON ((-118.435284238916 34.3088178736997, -118.432852239392 34.3109798745772, -118.429469238597 34.3081828739845, -118.422439236602 34.3019568743219, -118.419528236386 34.2992238738427, -118.417151235178 34.2969568737049, -118.41813523546 34.2962498737839, -118.41857423548 34.2964558733138, -118.421413235753 34.2943798734848, -118.42347923606 34.2963268738443, -118.426366237114 34.2990458731949, -118.429262237409 34.301774874033, -118.432875238736 34.3044298737895, -118.43328423878 34.3047908738694, -118.436775239932 34.3074908736451, -118.435284238916 34.3088178736997))",0.31
15,06037107010,-1.672657,4.7,"POLYGON ((-118.452708241963 34.3049348724782, -118.449725241655 34.3075918731197, -118.446229240509 34.3048898734777, -118.444495240885 34.3035498726952, -118.440146239348 34.3001868725606, -118.438833238812 34.299116872466, -118.441800239939 34.2964718719933, -118.445562240572 34.2994178724956, -118.447490240708 34.3009058726422, -118.448898240673 34.2995908719784, -118.449358240547 34.2998818724109, -118.450696241033 34.300908872565, -118.454193241912 34.3036108722786, -118.452708241963 34.3049348724782))",3.17
16,06037106645,-2.797835,0.0,"POLYGON ((-118.50258924933 34.299669868819, -118.501038249589 34.3035368694325, -118.500932249884 34.3043798698437, -118.498206249682 34.3036878696934, -118.496431249042 34.300826869971, -118.49497524845 34.3005908697667, -118.493861247924 34.298685869462, -118.494502248276 34.2979508695035, -118.492564248062 34.295328868983, -118.491223247459 34.2950758698446, -118.490041246876 34.2927408692639, -118.488972247187 34.2920758691899, -118.484920245712 34.2875638689239, -118.483533245812 34.2867628688582, -118.483284245195 34.2845448689009, -118.483812245255 34.2829978681622, -118.483218244859 34.2816178682106, -118.483609245133 34.2800468685705, -118.484685245036 34.279632867675, -118.484663244834 34.2791738678127, -118.485793245517 34.2778348674602, -118.486114244907 34.276654867918, -118.489058245797 34.2766698672737, -118.489034245541 34.2792038682201, -118.489008246608 34.2819778681437, -118.489571246681 34.2867068682215, -118.493409247768 34.2874458686346, -118.496132247759 34.282943867647, -118.499693248487 34.2833638677175, -118.499954248057 34.2863028676787, -118.50185524926 34.2887208680524, -118.501761248494 34.2903178680207, -118.502179248894 34.2931588686365, -118.50258924933 34.299669868819))",0.39
17,06037107020,-2.489185,2.8,"POLYGON ((-118.455681241953 34.3022838717891, -118.454193241912 34.3036108722786, -118.450696241033 34.300908872565, -118.449358240547 34.2998818724109, -118.448898240673 34.2995908719784, -118.447490240708 34.3009058726422, -118.445562240572 34.2994178724956, -118.441800239939 34.2964718719933, -118.442559239489 34.2959278722251, -118.444793240216 34.2938078720483, -118.445512239904 34.2944108721811, -118.447032239629 34.2930578720544, -118.448825240314 34.2914678715064, -118.452189241456 34.2940748712563, -118.45550724228 34.2966218717309, -118.459005242185 34.2993228716151, -118.455681241953 34.3022838717891))",2.8
18,06037106648,-0.681794,4.5,"POLYGON ((-118.462406243061 34.2963188711684, -118.459005242185 34.2993228716151, -118.45550724228 34.2966218717309, -118.452189241456 34.2940748712563, -118.448825240314 34.2914678715064, -118.449453240329 34.2897038714548, -118.451364240582 34.2883308712158, -118.452534240507 34.2874988712212, -118.453535240993 34.288489870401, -118.45725624114 34.2889238708858, -118.458225241262 34.2903998705066, -118.461225242447 34.2922858711336, -118.459999242246 34.2944578713715, -118.462406243061 34.2963188711684))",6.73
19,06037104204,-3.248653,1.5,"POLYGON ((-118.411436233718 34.2844348727881, -118.408155233151 34.2868258731923, -118.407502232682 34.2871888729538, -118.405828232475 34.2882008732146, -118.405563232183 34.2882598731576, -118.404773232708 34.2882368737871, -118.404020232458 34.287996873839, -118.403280231847 34.2879398740502, -118.402404232296 34.288061873865, -118.401252231898 34.2879768741361, -118.400824231797 34.2878738736452, -118.400769231699 34.2882928737581, -118.400865231724 34.2899878740157, -118.400261232672 34.2923168741027, -118.399743232368 34.2934228749119, -118.396996231579 34.2933528746778, -118.396755231432 34.2969878747662, -118.393723231751 34.2969838755336, -118.393647231191 34.2987928755566, -118.387408230859 34.2987848759765, -118.38739123021 34.2969478758713, -118.382890229926 34.2969608760956, -118.38295022901 34.2939698756617, -118.382384229149 34.2915308750597, -118.386871229689 34.291536875107, -118.386928229697 34.2897388749002, -118.384631229045 34.2897358747681, -118.385774229447 34.2848218739799, -118.386139229211 34.2848448745655, -118.388419229255 34.2853798744944, -118.392693230781 34.2863828743988, -118.395223230955 34.2856018734926, -118.400861230923 34.2815908735392, -118.401845231528 34.2808738731962, -118.405129231539 34.2784798724435, -118.408282232972 34.2814568723526, -118.411436233718 34.2844348727881))",2.63
20,06037106649,-1.919027,2.0,"POLYGON ((-118.469886243869 34.2934618701749, -118.465979243564 34.2947518704822, -118.464792243393 34.2981628712575, -118.462406243061 34.2963188711684, -118.459999242246 34.2944578713715, -118.461225242447 34.2922858711336, -118.458225241262 34.2903998705066, -118.45725624114 34.2889238708858, -118.453535240993 34.288489870401, -118.452534240507 34.2874988712212, -118.456020240467 34.2849078700288, -118.452359239612 34.2814588700623, -118.455313240255 34.2793408699291, -118.455860240738 34.2802788695727, -118.458012241305 34.2836208705081, -118.464173242221 34.2879378704275, -118.467992243168 34.2916258707256, -118.469886243869 34.2934618701749))",5.26
21,06037104201,-1.823836,1.0,"POLYGON ((-118.42074123555 34.2877318729936, -118.417460234543 34.2901238731607, -118.418644235389 34.2917688734269, -118.415804234964 34.2938458739982, -118.415679234883 34.2939368733531, -118.408155233151 34.2868258731923, -118.411436233718 34.2844348727881, -118.41471823361 34.2820418725467, -118.418003234113 34.2796468717845, -118.418635234343 34.2802438722338, -118.424030235673 34.2853318720895, -118.42074123555 34.2877318729936))",6.71
22,06037980026,-4.917328,,"POLYGON ((-118.35174122346 34.2824798763132, -118.326843218889 34.2824398777915, -118.326926219821 34.2860648775586, -118.318525218284 34.2860828788094, -118.316883217615 34.2860878780221, -118.299490214381 34.2861008794241, -118.299407215285 34.2932638798723, -118.290620213338 34.2932328805503, -118.286298212664 34.2926538808495, -118.286319213075 34.2920798807042, -118.2867062117 34.2783418790043, -118.273692209758 34.2780718797906, -118.273549209554 34.2816658802865, -118.238801204129 34.2815938827935, -118.238915202853 34.267088880973, -118.25670220579 34.2671948797322, -118.256512204262 34.2522708777744, -118.265276206565 34.2523848772978, -118.265250206017 34.2546218782097, -118.26530220653 34.2599588784636, -118.277434208575 34.2599078782017, -118.277297208772 34.2636348778944, -118.279495209818 34.2636348785109, -118.278965210143 34.2665458789136, -118.281678209943 34.2660158783934, -118.285283210712 34.2664388783748, -118.28562821148 34.2705458783127, -118.290237211511 34.2710048784912, -118.289911212629 34.2789508792189, -118.296982213712 34.2788118787492, -118.305920215569 34.2787878779667, -118.306349215858 34.2820178788029, -118.311687216689 34.2787338776202, -118.317156216631 34.2787818773451, -118.31952121716 34.278836877718, -118.348165222361 34.2790228761483, -118.351746222898 34.2794398755549, -118.35174122346 34.2824798763132))",0.0
23,06037109100,-1.560627,17.6,"POLYGON ((-118.47194124224 34.2718358682444, -118.471633242164 34.2733848686136, -118.470726242083 34.2759468688901, -118.46965924299 34.2790768687026, -118.468057242471 34.285530869327, -118.467401243054 34.2891078701026, -118.467794243836 34.2911668702969, -118.467992243168 34.2916258707256, -118.464173242221 34.2879378704275, -118.458012241305 34.2836208705081, -118.455860240738 34.2802788695727, -118.455313240255 34.2793408699291, -118.455224240315 34.2792208697751, -118.45014323902 34.2741968697016, -118.45002823883 34.2740618697528, -118.452692239281 34.2721848690839, -118.454171239421 34.2716638688672, -118.455384239901 34.2715528689128, -118.458907240708 34.2716888687213, -118.462952240798 34.271552868303, -118.466300241482 34.2693288676676, -118.467000241325 34.2686158679563, -118.467311241157 34.2658458679981, -118.472055241757 34.2658778673183, -118.47194124224 34.2718358682444))",0.65
24,06037106646,-1.222554,6.6,"POLYGON ((-118.502146248256 34.279288867333, -118.502102248648 34.2840858672525, -118.502071248562 34.2873038678874, -118.50185524926 34.2887208680524, -118.499954248057 34.2863028676787, -118.499693248487 34.2833638677175, -118.496132247759 34.282943867647, -118.493409247768 34.2874458686346, -118.489571246681 34.2867068682215, -118.489008246608 34.2819778681437, -118.489034245541 34.2792038682201, -118.489058245797 34.2766698672737, -118.486114244907 34.276654867918, -118.486953244532 34.2719358667617, -118.487113244862 34.2701298668489, -118.487092244382 34.2694698665393, -118.490139245952 34.2719568670175, -118.495365246999 34.2760938674252, -118.497850247321 34.2772518666545, -118.502159248501 34.2779498666765, -118.502146248256 34.279288867333))",3.2
25,06037104103,-2.525388,2.0,"POLYGON ((-118.400861230923 34.2815908735392, -118.395223230955 34.2856018734926, -118.392693230781 34.2863828743988, -118.388419229255 34.2853798744944, -118.386139229211 34.2848448745655, -118.382944228764 34.2840948742221, -118.385687228634 34.2820958743957, -118.3920832293 34.2774358733709, -118.396120230793 34.2779698726187, -118.397590230617 34.2786728733391, -118.397616230755 34.2786888731931, -118.398428230688 34.2792958731968, -118.400861230923 34.2815908735392))",2.14
26,06037104124,-2.674854,1.6,"POLYGON ((-118.3920832293 34.2774358733709, -118.385687228634 34.2820958743957, -118.382944228764 34.2840948742221, -118.386139229211 34.2848448745655, -118.385774229447 34.2848218739799, -118.384631229045 34.2897358747681, -118.386928229697 34.2897388749002, -118.386871229689 34.291536875107, -118.382384229149 34.2915308750597, -118.38295022901 34.2939698756617, -118.381339229582 34.2948378760531, -118.379110228306 34.2946248755423, -118.378709228649 34.29611587629, -118.375606227874 34.2961248765503, -118.371629228085 34.2981938764547, -118.370302227386 34.2980468767993, -118.367785227361 34.3000638771982, -118.367100227032 34.3018638770565, -118.365447227487 34.300618877616, -118.362746226466 34.3000788777488, -118.362629226537 34.2989858773161, -118.361196226621 34.2979978769088, -118.361909226012 34.2951748769349, -118.361575225416 34.2927798767193, -118.360357225362 34.2930988767303, -118.360357225034 34.2876518764437, -118.3627002256 34.2878478761893, -118.36448922644 34.2894798762266, -118.366264225731 34.2883358757436, -118.367441226399 34.2862018752733, -118.369328226601 34.286074875763, -118.370633225901 34.2824918749487, -118.370766225854 34.2821218749225, -118.370952225588 34.2787248747375, -118.3725602267 34.2764158743441, -118.372971226289 34.2745288743812, -118.373025225657 34.2739068741815, -118.379040226997 34.2745128733192, -118.38912622888 34.2769978729023, -118.3920832293 34.2774358733709))",9.51
27,06037109200,-1.70883,5.7,"POLYGON ((-118.481183244591 34.2765528682647, -118.480294243926 34.279145868106, -118.475925243599 34.2791178685409, -118.474422243811 34.2791078687785, -118.473591243881 34.2835168688852, -118.47188424396 34.2848258694157, -118.469425242762 34.2846438690936, -118.469488242691 34.285402869275, -118.468057242471 34.285530869327, -118.46965924299 34.2790768687026, -118.470726242083 34.2759468688901, -118.471633242164 34.2733848686136, -118.47194124224 34.2718358682444, -118.475994243318 34.2718638679859, -118.480365243551 34.2718928671599, -118.481183244591 34.2765528682647))",0.0
28,06037104310,-1.767959,0.5,"POLYGON ((-118.435216236474 34.2760308702584, -118.433788236647 34.2774578704786, -118.433626236681 34.2778208710271, -118.432717236716 34.278501870623, -118.430581236368 34.2805538710613, -118.427303235895 34.2829448719624, -118.424030235673 34.2853318720895, -118.418635234343 34.2802438722338, -118.421893234235 34.2778268718524, -118.428550235609 34.2725308707166, -118.428773235295 34.2723678701184, -118.434570236341 34.2684798694507, -118.440172236218 34.2671888693211, -118.435216236474 34.2760308702584))",2.46
29,06037104203,0.04855,6.9,"POLYGON ((-118.418003234113 34.2796468717845, -118.41471823361 34.2820418725467, -118.411436233718 34.2844348727881, -118.408282232972 34.2814568723526, -118.405129231539 34.2784798724435, -118.408414232181 34.2760848724577, -118.411698232962 34.2736908714518, -118.414850233657 34.2766688717, -118.418003234113 34.2796468717845))",5.1
