,FIPS,Walkability,Percentage of without vehicle,geometry,Percentage of public transportation
201,06037201401,-0.28149,8.3,"POLYGON ((-118.19348117965 34.0782528629791, -118.192531180259 34.0792698624521, -118.191827179892 34.080040862946, -118.187831179792 34.0844438638843, -118.187021178921 34.0850568637366, -118.186444179699 34.0852158641351, -118.184089178818 34.0854998640556, -118.184172179304 34.0860548637653, -118.180163178402 34.0856938642633, -118.178083177543 34.0864488648274, -118.17805017783 34.0818908643054, -118.178046176894 34.0810308638574, -118.17804617711 34.078303863186, -118.178291177424 34.0778248634453, -118.178967176913 34.0773198636175, -118.180156177383 34.0756288629694, -118.193798180132 34.0755178619709, -118.19348117965 34.0782528629791))",10.02
202,06037199110,-0.914267,12.0,"POLYGON ((-118.202853181026 34.0786828618877, -118.201708181912 34.0806118622723, -118.200380181877 34.0835518630106, -118.197218180334 34.0830838629441, -118.195767180577 34.0849938628742, -118.193577180878 34.0857328638067, -118.192172180575 34.0856388630925, -118.191467180043 34.0837728637337, -118.193064180029 34.0820228627024, -118.191827179892 34.080040862946, -118.192531180259 34.0792698624521, -118.19348117965 34.0782528629791, -118.194189179468 34.0773868621208, -118.196509179553 34.0739228624224, -118.202560180506 34.0738328617548, -118.202744180838 34.0738298619993, -118.202853181026 34.0786828618877))",7.78
203,06037262601,-3.427587,0.5,"POLYGON ((-118.575568244332 34.0801968408331, -118.574980243363 34.0816488410687, -118.572804243945 34.0832388416489, -118.570828243198 34.0838948418889, -118.56291024129 34.0810298418857, -118.557368240962 34.077985841743, -118.557308240038 34.0769878417884, -118.554749239994 34.0769408421583, -118.553604239904 34.0792848420813, -118.551139239723 34.0801438425158, -118.549555239455 34.0814158429275, -118.547299239186 34.0797618431083, -118.545139238317 34.0792468432063, -118.544538238071 34.0760218420589, -118.544771238726 34.0748228420458, -118.543036237865 34.0732988426543, -118.542502237685 34.0693108420641, -118.53828023705 34.0668968418188, -118.538698236139 34.0655568418535, -118.538019236341 34.063726841253, -118.547181238119 34.0652988415148, -118.550716238421 34.0655488413313, -118.550282238162 34.0640548404459, -118.552578239214 34.0656738407734, -118.557887239443 34.0667348409217, -118.559135240263 34.0661318408807, -118.55993923973 34.0685028408459, -118.561369241023 34.0692818411364, -118.563764241319 34.0717698407766, -118.56408024154 34.0730178409851, -118.566335241743 34.0766978412726, -118.570009242251 34.0756928409129, -118.573678243284 34.0771658413911, -118.575216243484 34.0783388412379, -118.575568244332 34.0801968408331))",0.0
204,06037192610,1.83479,18.7,"POLYGON ((-118.300463198019 34.084685856956, -118.298844198067 34.083567856802, -118.297854197816 34.0835738573645, -118.295326196879 34.0835868576891, -118.291722196582 34.0835928573444, -118.291716196723 34.0817788571494, -118.291708196342 34.0793408573671, -118.29170719634 34.0790578571007, -118.2953081969 34.0790428566416, -118.295756197094 34.0790408573064, -118.300435197379 34.0790208566065, -118.30044019822 34.0799298566364, -118.300447198143 34.0812318567935, -118.300458198295 34.0835598569555, -118.300463198019 34.084685856956))",28.8
205,06037195600,1.526043,13.8,"POLYGON ((-118.27230919333 34.0832538584718, -118.270384192925 34.0824218591084, -118.26945019329 34.0820168583661, -118.267739192697 34.0847318588248, -118.266015192651 34.083983859187, -118.26305919132 34.0827008595474, -118.260186191358 34.0819498588888, -118.260324190774 34.078916859269, -118.260471190941 34.0781188583847, -118.263469191647 34.0776238584389, -118.265327192265 34.0774588584887, -118.269022192312 34.0795238582137, -118.270383192671 34.0805328584142, -118.271525193413 34.0816368587259, -118.273368193065 34.0829668585641, -118.27230919333 34.0832538584718))",10.69
206,06037201504,-0.810287,7.0,"POLYGON ((-118.17804617711 34.078303863186, -118.178046176894 34.0810308638574, -118.17805017783 34.0818908643054, -118.175195176829 34.0819908637866, -118.174231176649 34.0822548645714, -118.172178176774 34.0829548645735, -118.170475176767 34.0845968650391, -118.168762176347 34.0848718647731, -118.168668176069 34.084348864403, -118.167784175499 34.0829618647256, -118.169315175913 34.0824518645112, -118.172856176925 34.0791518638713, -118.175193176758 34.0773468640001, -118.177153176956 34.0773368636612, -118.178291177424 34.0778248634453, -118.17804617711 34.078303863186))",7.92
207,06037195903,1.216883,6.0,"POLYGON ((-118.28447819549 34.0837378581218, -118.283559195517 34.0838948577271, -118.281285194997 34.0832288578431, -118.279146194614 34.0822948583694, -118.281092194798 34.079211857739, -118.282495194572 34.0772968576414, -118.284421194545 34.0777368575019, -118.284438194689 34.0794158577215, -118.284476195284 34.0835938583915, -118.28447819549 34.0837378581218))",9.13
208,06037123205,-1.184523,5.0,"POLYGON ((-118.387792222111 34.1996608646216, -118.379058220649 34.19793286525, -118.379058220808 34.1939428646254, -118.379058219922 34.1903138647957, -118.38451622062 34.1903098643104, -118.387791221205 34.1903068641033, -118.387791222096 34.1939368640387, -118.387791222337 34.1975718648717, -118.387792222111 34.1996608646216))",5.41
209,06037135102,-1.792926,3.1,"POLYGON ((-118.623403261194 34.1975248507666, -118.620739260503 34.197407851679, -118.617852260547 34.1982458518326, -118.617080260638 34.1982528512539, -118.614672259814 34.1981598522177, -118.614658259413 34.1937378512885, -118.614652259359 34.191506850807, -118.614637259562 34.1864558508066, -118.614626258994 34.1828298500466, -118.614616258547 34.179198849746, -118.618441259306 34.179191849393, -118.623349259622 34.1791828492374, -118.623354259938 34.1810088494098, -118.623370260886 34.1864408497739, -118.62339126157 34.1937228508275, -118.623403261194 34.1975248507666))",1.72
210,06037135111,-1.375958,2.3,"POLYGON ((-118.614672259814 34.1981598522177, -118.609352258855 34.1983808520302, -118.605852257985 34.1972478517385, -118.605847257866 34.1955668520083, -118.60584125852 34.1937528520505, -118.605823257259 34.1869648506308, -118.607422257384 34.1865888512106, -118.610271258543 34.1865008511188, -118.612458258784 34.1864598502083, -118.614637259562 34.1864558508066, -118.614652259359 34.191506850807, -118.614658259413 34.1937378512885, -118.614672259814 34.1981598522177))",2.11
211,06037135202,-2.256192,3.7,"POLYGON ((-118.642781264165 34.1866338487394, -118.642493263946 34.1932518498125, -118.642421264156 34.1947388498039, -118.642283264122 34.1952888496258, -118.633375263451 34.1975128510719, -118.631708262679 34.1975298510915, -118.631517262288 34.1972658507739, -118.631504262466 34.1928088501932, -118.631496262005 34.1898508499645, -118.631505261628 34.1864228496214, -118.631490260935 34.1811588486261, -118.63483126236 34.1808428483541, -118.643001263538 34.1815808479708, -118.642781264165 34.1866338487394))",2.78
212,06037135201,-1.770523,6.1,"POLYGON ((-118.631654261631 34.1801828485691, -118.631490260935 34.1811588486261, -118.631505261628 34.1864228496214, -118.631496262005 34.1898508499645, -118.631504262466 34.1928088501932, -118.631517262288 34.1972658507739, -118.631708262679 34.1975298510915, -118.623403261194 34.1975248507666, -118.62339126157 34.1937228508275, -118.623370260886 34.1864408497739, -118.623354259938 34.1810088494098, -118.623349259622 34.1791828492374, -118.632007261504 34.1791648484448, -118.631654261631 34.1801828485691))",5.39
213,06037132001,-1.36984,8.4,"POLYGON ((-118.518593243777 34.1975018573825, -118.509863243009 34.197512857656, -118.509858242387 34.1938838570535, -118.509853241374 34.1893498567897, -118.509850241836 34.1866258566514, -118.518493243111 34.1866178561499, -118.518532243151 34.1894398566085, -118.518543242914 34.1902458562574, -118.518588243284 34.1938738571422, -118.518593243777 34.1975018573825))",1.73
214,06037127603,-0.244234,10.0,"POLYGON ((-118.485851238618 34.1975368593645, -118.479302237911 34.1975408598343, -118.474139237083 34.1976028599598, -118.474145237097 34.1975468597757, -118.474214236675 34.1970208594091, -118.474224236201 34.1939158596689, -118.474932236504 34.1939158596633, -118.479298237461 34.1939118594335, -118.481481237914 34.1939108586342, -118.485847238574 34.193906859136, -118.485851238618 34.1975368593645))",9.17
215,06037123206,0.016917,13.0,"POLYGON ((-118.379058220808 34.1939428646254, -118.379058220649 34.19793286525, -118.370325219425 34.1962068658627, -118.37032621918 34.1939478656529, -118.370326218137 34.1903208648041, -118.374692218932 34.1903178646129, -118.379058219922 34.1903138647957, -118.379058220808 34.1939428646254))",12.89
216,06037123204,1.270401,4.1,"POLYGON ((-118.396526223369 34.1975718638047, -118.39215922285 34.1975708642214, -118.39215822263 34.1958398638577, -118.392158223128 34.1939388636285, -118.392158222667 34.1903098637865, -118.396524222603 34.19030986384, -118.396525223377 34.1958398642775, -118.396526223369 34.1975718638047))",7.98
217,06037123103,-1.623547,5.6,"POLYGON ((-118.370326218137 34.1903208648041, -118.37032621918 34.1939478656529, -118.370325219425 34.1962068658627, -118.370325218685 34.1963838655001, -118.361163217185 34.1946558659884, -118.36112821772 34.1943898657342, -118.35975621679 34.1848848651567, -118.362154216626 34.1864378648155, -118.365962217915 34.1866958645334, -118.370326218087 34.1866928642294, -118.370326218137 34.1903208648041))",10.07
218,06037134904,-0.797786,4.7,"POLYGON ((-118.588458255636 34.1952488527323, -118.581165253982 34.1951238535067, -118.579723254457 34.1945908532336, -118.577490253786 34.1933838534313, -118.570980252371 34.1908998534614, -118.570970252007 34.1871628531233, -118.570965252057 34.1856998527118, -118.573698252037 34.1877378534147, -118.576137253047 34.1883348525084, -118.57971425311 34.1883808529057, -118.58845725503 34.1883508519145, -118.58844625537 34.1888228522207, -118.588451255066 34.1925678525024, -118.588454255745 34.1937808529717, -118.588458255636 34.1952488527323))",7.52
219,06037132502,-0.731955,10.9,"POLYGON ((-118.553515249662 34.1938348545241, -118.54914424922 34.1938418546088, -118.543972248251 34.1938498555478, -118.542991247671 34.1910138552758, -118.540712246567 34.190147855577, -118.541238247008 34.1900318554132, -118.544769247866 34.1885768543775, -118.547302248355 34.1876788548194, -118.549133247762 34.1876278544405, -118.552220248604 34.1876438541687, -118.553504248781 34.1879938537313, -118.553515249662 34.1938348545241))",5.59
220,06037132700,0.431066,9.7,"POLYGON ((-118.536047246653 34.1938578559748, -118.527319244643 34.1938668560407, -118.518588243284 34.1938738571422, -118.518543242914 34.1902458562574, -118.518532243151 34.1894398566085, -118.518493243111 34.1866178561499, -118.518499242615 34.1849858560543, -118.525251244084 34.1850478556424, -118.527307244017 34.1855858552175, -118.53550724597 34.1899508556969, -118.536041246318 34.1901238550626, -118.536047246653 34.1938578559748))",11.58
221,06037132101,-1.275815,6.5,"POLYGON ((-118.501128241081 34.193893857999, -118.492396239404 34.1939008578721, -118.491162239328 34.1939018582556, -118.490213238638 34.1939028580234, -118.49020623873 34.1866398575698, -118.49239023916 34.1866388579233, -118.501122240011 34.1866318571726, -118.501124239955 34.1893218570228, -118.501128241081 34.193893857999))",6.32
222,06037123800,-1.129627,7.9,"POLYGON ((-118.405261224196 34.190318863112, -118.401850224154 34.1903168632983, -118.401333223819 34.1869428630358, -118.399923223243 34.1844368621334, -118.3964552227 34.1813968625761, -118.396455222196 34.1810408624799, -118.396518222065 34.1794098617657, -118.396517221556 34.1773268623032, -118.396514221091 34.1721448618672, -118.399793221829 34.1721428609304, -118.405258222602 34.1721388611686, -118.405258223063 34.1748598612721, -118.405259224001 34.1794118618764, -118.405260224386 34.1830728618502, -118.405260224607 34.1866808620639, -118.405261224196 34.190318863112))",5.05
223,06037123901,0.743137,1.9,"POLYGON ((-118.401850224154 34.1903168632983, -118.396524222603 34.19030986384, -118.392158222667 34.1903098637865, -118.387791221205 34.1903068641033, -118.38779022177 34.1866788634545, -118.387788220723 34.1830458634823, -118.387786220148 34.1794138625231, -118.394544222105 34.1794108621825, -118.395042221626 34.1794098622682, -118.3964552227 34.1813968625761, -118.399923223243 34.1844368621334, -118.401333223819 34.1869428630358, -118.401850224154 34.1903168632983))",11.88
224,06037124103,0.331357,7.9,"POLYGON ((-118.387791221205 34.1903068641033, -118.38451622062 34.1903098643104, -118.379058219922 34.1903138647957, -118.379058219428 34.186686863754, -118.383424220988 34.1866828635169, -118.38779022177 34.1866788634545, -118.387791221205 34.1903068641033))",5.16
225,06037124201,0.026382,7.3,"POLYGON ((-118.379058219922 34.1903138647957, -118.374692218932 34.1903178646129, -118.370326218137 34.1903208648041, -118.370326218087 34.1866928642294, -118.370318218209 34.1812438641724, -118.370314217598 34.1794278640225, -118.374682218873 34.1794248635264, -118.379046218883 34.1794218629633, -118.379052219883 34.1830538638488, -118.379055219491 34.1848698638865, -118.379058219428 34.186686863754, -118.379058219922 34.1903138647957))",3.43
226,06037134905,-2.28649,2.0,"POLYGON ((-118.597471256465 34.1883448514814, -118.58845725503 34.1883508519145, -118.57971425311 34.1883808529057, -118.576137253047 34.1883348525084, -118.573698252037 34.1877378534147, -118.570965252057 34.1856998527118, -118.570955251246 34.1802338520044, -118.575731251625 34.1780288520341, -118.577013252401 34.1779778517768, -118.582253252648 34.1779718510828, -118.585458253933 34.1775458507951, -118.589328254403 34.1790548509735, -118.590479254002 34.1792558515211, -118.597373256068 34.1792478504169, -118.597379256019 34.1828588511096, -118.597382255688 34.1845698509345, -118.597398256212 34.1882288521271, -118.597471256465 34.1883448514814))",1.45
227,06037139301,-2.9768,4.1,"POLYGON ((-118.570955251246 34.1802338520044, -118.570965252057 34.1856998527118, -118.570970252007 34.1871628531233, -118.562234249688 34.1840658536533, -118.553490248221 34.1810988533986, -118.550662248441 34.180307853376, -118.544755247169 34.180220853903, -118.540716246766 34.1802538541113, -118.540740246045 34.1771298537739, -118.540735245806 34.1745098532271, -118.540730245745 34.1732568534374, -118.544742246525 34.1733228532913, -118.553476248172 34.1734638524475, -118.559676249187 34.1735298526923, -118.56221324889 34.1733298516505, -118.569060249898 34.1726068513734, -118.570936251066 34.172117851734, -118.570937251228 34.1758008518276, -118.571496250879 34.1777278518588, -118.570955251246 34.1802338520044))",3.35
228,06037980024,-3.770509,6.1,"POLYGON ((-118.518499242615 34.1849858560543, -118.518493243111 34.1866178561499, -118.509850241836 34.1866258566514, -118.501122240011 34.1866318571726, -118.49239023916 34.1866388579233, -118.49020623873 34.1866398575698, -118.481473236932 34.1866458578788, -118.474036236078 34.1866498589763, -118.473813235722 34.1856028584375, -118.473325235872 34.1844718588133, -118.469551233877 34.1792598580004, -118.468043234033 34.1765708573815, -118.467549233622 34.172110857444, -118.467570232938 34.1705088572078, -118.469497233503 34.1648278563041, -118.469480232216 34.1600108554886, -118.473534234009 34.164408855864, -118.475060234353 34.1650408564312, -118.4766192341 34.1652628556842, -118.48363623507 34.1651848556548, -118.487750235833 34.1651298557797, -118.491237236667 34.1651308549593, -118.492369237275 34.1653308549714, -118.493886237786 34.1658848549359, -118.501105238501 34.1703578551234, -118.501030238612 34.1722218555552, -118.50595223973 34.1722408547289, -118.505898240595 34.1762948552906, -118.50590524011 34.1796668556311, -118.505484240076 34.1802408562049, -118.514923242299 34.1801488552173, -118.515819242298 34.1801468556158, -118.515883242548 34.1831158553631, -118.518506243229 34.1831128558075, -118.518499242615 34.1849858560543))",0.0
229,06037128302,-0.333866,11.7,"POLYGON ((-118.46619223449 34.1866548585733, -118.464009234106 34.1866558591582, -118.457460232959 34.1866608594363, -118.453093232245 34.1866628595574, -118.453091232163 34.1836398596901, -118.457457232975 34.1836368594141, -118.457455231972 34.180502858795, -118.466187234187 34.1804068586662, -118.46619223449 34.1866548585733))",12.06
230,06037128303,0.348059,11.1,"POLYGON ((-118.457457232975 34.1836368594141, -118.453091232163 34.1836398596901, -118.453093232245 34.1866628595574, -118.448727231276 34.186665860386, -118.448725230857 34.183641859426, -118.448722230612 34.1805108594129, -118.45090623151 34.1806098596278, -118.453089231157 34.1804638586783, -118.457455231972 34.180502858795, -118.457457232975 34.1836368594141))",13.64
231,06037128210,1.427435,12.8,"POLYGON ((-118.448727231276 34.186665860386, -118.439994229916 34.1866698602721, -118.439992229802 34.183646860135, -118.439990229597 34.1805078599145, -118.448722230612 34.1805108594129, -118.448725230857 34.183641859426, -118.448727231276 34.186665860386))",15.78
232,06037128220,-1.277707,13.4,"POLYGON ((-118.439994229916 34.1866698602721, -118.435627229726 34.1866708610607, -118.431261228313 34.1866718610943, -118.431259228101 34.1830448605889, -118.431257228485 34.1798808599422, -118.4326282283 34.1803928600808, -118.435623229139 34.1805098597292, -118.439990229597 34.1805078599145, -118.439992229802 34.183646860135, -118.439994229916 34.1866698602721))",11.37
233,06037123602,-1.519722,12.3,"POLYGON ((-118.431261228313 34.1866718610943, -118.42253122662 34.18667486171, -118.422529226858 34.1830478614948, -118.422523225535 34.1722878597721, -118.428206227677 34.177729859908, -118.430434227395 34.1794038601821, -118.431257228485 34.1798808599422, -118.431259228101 34.1830448605889, -118.431261228313 34.1866718610943))",7.82
234,06037139402,-2.106676,1.1,"POLYGON ((-118.565876250115 34.1705768519006, -118.562837249486 34.1708848520536, -118.562231249402 34.1710638517162, -118.56221324889 34.1733298516505, -118.559676249187 34.1735298526923, -118.553476248172 34.1734638524475, -118.544742246525 34.1733228532913, -118.544740246365 34.1722548529206, -118.544733246508 34.1686308523897, -118.541073245204 34.1671578525915, -118.537539244541 34.1657348529327, -118.531704243302 34.1657408531126, -118.531780243062 34.1624948528744, -118.532257243699 34.162014852505, -118.533622243235 34.1621678523998, -118.533984243709 34.1629098525656, -118.546577246165 34.1632048520903, -118.548220246011 34.1632538519285, -118.550067246815 34.1645148515194, -118.552557246735 34.16350785183, -118.553862247507 34.163713851679, -118.556161247356 34.1648708517726, -118.558185247333 34.1638718510256, -118.560618248153 34.164072850758, -118.562202248832 34.16299185083, -118.563861248224 34.1637218511627, -118.565861248905 34.1637188509337, -118.565876250115 34.1705768519006))",3.17
235,06037800204,-2.874328,4.5,"POLYGON ((-118.69827426971 34.1438258414478, -118.697701269598 34.1471918419222, -118.697798269268 34.1483898413334, -118.697864270038 34.1486688414156, -118.695316269532 34.1507238423511, -118.693839269225 34.1511848417356, -118.68792826779 34.1506498423444, -118.68404626789 34.1512088431516, -118.67850426706 34.1510098427129, -118.674559266075 34.1496628427736, -118.671849265408 34.1493058430234, -118.666066264307 34.1496178436851, -118.663437264436 34.1500728438572, -118.654419262958 34.1526468444338, -118.652153262245 34.1534458451346, -118.64326726142 34.1573068458799, -118.641281261583 34.1581408456249, -118.64128226123 34.157928845643, -118.641288260675 34.1566378456188, -118.639174261188 34.1573418461271, -118.638495260734 34.1576018457399, -118.632119258666 34.150563845704, -118.631262258579 34.1510918460132, -118.629951258527 34.1498688453605, -118.6290042581 34.1472778454053, -118.629176257728 34.1472428457504, -118.631132258371 34.1410178450629, -118.630460257232 34.1364978444738, -118.631874257307 34.1348138439834, -118.633210257552 34.1346548438326, -118.635467258166 34.1374838443269, -118.637996258607 34.138796844038, -118.644270260173 34.1387768433077, -118.648429260382 34.1395158431144, -118.649049260523 34.1401598432929, -118.64931826092 34.1420478433193, -118.653958262312 34.1414948434096, -118.657363261896 34.1390228425762, -118.660241262738 34.1388128425501, -118.664734264009 34.1405908430978, -118.66705226351 34.1406498425948, -118.670465264252 34.1390628422866, -118.67344226457 34.1393098418255, -118.673540265043 34.1416968418606, -118.677064266067 34.1414228424488, -118.67840626567 34.1422598419105, -118.680618266032 34.1410878419257, -118.682646266279 34.141128842084, -118.684466267569 34.1428848418257, -118.683924266675 34.1443418415907, -118.688286267773 34.1460738415677, -118.688953267753 34.1439388416269, -118.690007268078 34.144765841361, -118.690406268011 34.1432138415449, -118.691617268261 34.1424858414836, -118.694680269201 34.1431018409731, -118.697864269814 34.1430648414932, -118.69827426971 34.1438258414478))",0.0
236,06037137501,-1.005596,5.1,"POLYGON ((-118.588370253023 34.1602788491142, -118.58816625354 34.1663838500972, -118.588171253152 34.1679468504244, -118.583082252135 34.1680258504449, -118.579851251701 34.1687838505328, -118.570936251066 34.172117851734, -118.569060249898 34.1726068513734, -118.56221324889 34.1733298516505, -118.562231249402 34.1710638517162, -118.562837249486 34.1708848520536, -118.565876250115 34.1705768519006, -118.565861248905 34.1637188509337, -118.568038249555 34.1636628508461, -118.570237249286 34.1625998506614, -118.573551249762 34.1598738502021, -118.575795250882 34.1592238499301, -118.576525250076 34.1582718494303, -118.577287250944 34.157584849657, -118.579217250464 34.1574858491652, -118.583999251085 34.1578228494923, -118.587828252066 34.1574458486328, -118.58836325242 34.1587948494314, -118.588370253023 34.1602788491142))",3.32
237,06037139401,0.821408,17.9,"POLYGON ((-118.544742246525 34.1733228532913, -118.540730245745 34.1732568534374, -118.536015245321 34.1731588531258, -118.534772245144 34.1729358535393, -118.530823243646 34.1714378538677, -118.530817242987 34.1666858527716, -118.531704243302 34.1657408531126, -118.537539244541 34.1657348529327, -118.541073245204 34.1671578525915, -118.544733246508 34.1686308523897, -118.544740246365 34.1722548529206, -118.544742246525 34.1733228532913))",7.73
238,06037128801,-0.260255,1.2,"POLYGON ((-118.467570232938 34.1705088572078, -118.467549233622 34.172110857444, -118.466179232848 34.1721118576661, -118.461814232047 34.17211485754, -118.461807232137 34.1648538572706, -118.466173232249 34.1648518566576, -118.469497233503 34.1648278563041, -118.467570232938 34.1705088572078))",2.61
239,06037128802,-0.612211,11.1,"POLYGON ((-118.461814232047 34.17211485754, -118.457448231747 34.1721178578061, -118.453083230973 34.172118858464, -118.448717229748 34.1721208583521, -118.448715230479 34.1699148580009, -118.448712229142 34.1648598577961, -118.453076230605 34.1648588576635, -118.455259231033 34.164857857527, -118.45744223157 34.1648558569393, -118.45962423124 34.1648548566157, -118.461807232137 34.1648538572706, -118.461814232047 34.17211485754))",2.22
240,06037124902,1.949181,14.6,"POLYGON ((-118.405258222602 34.1721388611686, -118.399793221829 34.1721428609304, -118.396514221091 34.1721448618672, -118.396513221395 34.1683618611414, -118.400340221781 34.1683568603947, -118.405257222676 34.168308860232, -118.405258222602 34.1721388611686))",10.05
241,06037125200,0.185168,6.1,"POLYGON ((-118.387779220566 34.1721538617167, -118.38447521949 34.1721568623118, -118.37903421905 34.1721608627962, -118.378983217901 34.1699948618841, -118.378983217921 34.1684078620462, -118.378983218113 34.1680628618891, -118.378989218169 34.1649008619098, -118.378985217463 34.1608168610202, -118.37900821689 34.1576428609222, -118.37964521792 34.1576428603561, -118.381194217645 34.1576408609991, -118.383380218223 34.1576378605169, -118.387750218606 34.1576318600965, -118.387754219098 34.1594888604643, -118.387759218925 34.1612608607588, -118.387765218969 34.163982860814, -118.387768218938 34.16488986072, -118.387773220261 34.1683738614225, -118.387760220023 34.1684918611429, -118.387773219489 34.1686758619775, -118.387777219556 34.1712588615887, -118.387778220329 34.171504861758, -118.387779220566 34.1721538617167))",5.38
242,06037125310,0.324862,6.2,"POLYGON ((-118.37903421905 34.1721608627962, -118.374599217664 34.17216186267, -118.374120217942 34.1721618624044, -118.370298216706 34.1721618632435, -118.365935216265 34.1721628631154, -118.361567216142 34.1721628631675, -118.357770215589 34.1721668640415, -118.356369214659 34.1688938632221, -118.356320214677 34.1687798632093, -118.356087214345 34.1680728634405, -118.354873214386 34.1652358630119, -118.354717213627 34.1649518626362, -118.355427214204 34.1649158629721, -118.35605821393 34.1649158629293, -118.356058213717 34.164946863152, -118.357170213975 34.1649128630555, -118.358274214081 34.1649128625458, -118.36154621484 34.1649118626383, -118.361557215734 34.1685238630691, -118.365362215917 34.1685168625593, -118.36860821628 34.1684878624115, -118.370322216856 34.1684158624993, -118.378983217921 34.1684078620462, -118.378983217901 34.1699948618841, -118.37903421905 34.1721608627962))",4.02
243,06037139502,-0.199565,6.0,"POLYGON ((-118.531780243062 34.1624948528744, -118.531704243302 34.1657408531126, -118.530817242987 34.1666858527716, -118.530823243646 34.1714378538677, -118.529844243765 34.1712278539357, -118.52728724295 34.1710998542212, -118.527286243259 34.1708278540514, -118.527279243307 34.166168853107, -118.527278243229 34.1654418532674, -118.524433242762 34.1644728534495, -118.522029241942 34.163540853147, -118.518582240856 34.1624318537203, -118.518597240312 34.1580558529976, -118.525782241639 34.1580908521628, -118.527241242238 34.1586538521678, -118.531578243152 34.1584928520897, -118.531401243015 34.1615418525612, -118.532257243699 34.162014852505, -118.531780243062 34.1624948528744))",3.79
244,06037137401,-1.214276,2.4,"POLYGON ((-118.617280257428 34.1643198475626, -118.618212258103 34.1660678480153, -118.615770257688 34.1668908484901, -118.614094257311 34.1678578486359, -118.612553257112 34.1689898487079, -118.609444257282 34.1704748489613, -118.605778256587 34.170646848871, -118.605772255882 34.1684848495124, -118.605835256027 34.1610278479034, -118.605824254782 34.1569058480981, -118.605760254437 34.1534598477124, -118.604770254977 34.1510158469487, -118.605511254472 34.1461768470485, -118.605829253704 34.145789846366, -118.609660254546 34.1472448467411, -118.612258255052 34.1482338466267, -118.614420256463 34.1495338469487, -118.611470255689 34.1513098468774, -118.61352025614 34.1512608465402, -118.612517256394 34.1527328473799, -118.61478725677 34.1540568474212, -118.616298256969 34.1537878468104, -118.616477256833 34.1578308473149, -118.619938257738 34.1603588471201, -118.617280257428 34.1643198475626))",0.23
245,06037127605,-1.231173,16.7,"POLYGON ((-118.490213238638 34.1939028580234, -118.485847238574 34.193906859136, -118.481481237914 34.1939108586342, -118.481476237558 34.1891718584777, -118.481473236932 34.1866458578788, -118.49020623873 34.1866398575698, -118.490213238638 34.1939028580234))",8.7
246,06037127606,-1.282553,2.3,"POLYGON ((-118.481481237914 34.1939108586342, -118.479298237461 34.1939118594335, -118.474932236504 34.1939158596633, -118.474224236201 34.1939158596689, -118.474036236078 34.1866498589763, -118.481473236932 34.1866458578788, -118.481476237558 34.1891718584777, -118.481481237914 34.1939108586342))",13.08
247,06037127711,-1.065533,0.0,"POLYGON ((-118.474224236201 34.1939158596689, -118.466199235378 34.1939218595065, -118.466195234963 34.1902938589697, -118.4661942346 34.1884798589348, -118.46619223449 34.1866548585733, -118.466187234187 34.1804068586662, -118.469912234276 34.1811418578837, -118.473813235722 34.1856028584375, -118.474036236078 34.1866498589763, -118.474224236201 34.1939158596689))",9.59
248,06037127805,0.553104,15.1,"POLYGON ((-118.466199235378 34.1939218595065, -118.464015234607 34.1939228597189, -118.461832234322 34.1939238599536, -118.45746523398 34.1939268603208, -118.448732232052 34.1939318605904, -118.448729232191 34.1906778605773, -118.457463233761 34.1906728599771, -118.457462233484 34.1902988598662, -118.464012233859 34.1902948592459, -118.466195234963 34.1902938589697, -118.466199235378 34.1939218595065))",2.62
249,06037128102,0.871318,11.0,"POLYGON ((-118.448732232052 34.1939318605904, -118.444365231319 34.1939338606296, -118.439998230136 34.1939358616868, -118.439996230174 34.189692860476, -118.439995230358 34.1884938609493, -118.439994229916 34.1866698602721, -118.448727231276 34.186665860386, -118.448729231889 34.1896888607033, -118.448729232191 34.1906778605773, -118.448732232052 34.1939318605904))",18.26
250,06037128101,-1.321998,6.7,"POLYGON ((-118.439998230136 34.1939358616868, -118.43563122957 34.1939378619548, -118.43126522911 34.1939388616699, -118.431263228813 34.1903108611794, -118.431261228313 34.1866718610943, -118.435627229726 34.1866708610607, -118.439994229916 34.1866698602721, -118.439995230358 34.1884938609493, -118.439996230174 34.189692860476, -118.439998230136 34.1939358616868))",9.04
251,06037123520,-0.881503,1.8,"POLYGON ((-118.431263228813 34.1903108611794, -118.422531227039 34.1903138621747, -118.422611227684 34.1939418621587, -118.42253322778 34.1939418623713, -118.422482227798 34.1939418619979, -118.417598226414 34.186677861788, -118.418164226188 34.186677861796, -118.42253122662 34.18667486171, -118.431261228313 34.1866718610943, -118.431263228813 34.1903108611794))",10.65
252,06037134901,-0.806422,0.9,"POLYGON ((-118.570980252371 34.1908998534614, -118.569054251886 34.1902828533144, -118.562240250683 34.1902648541543, -118.556802250251 34.1899858544367, -118.553504248781 34.1879938537313, -118.553499248522 34.1856668535614, -118.553493248916 34.1823338535265, -118.553490248221 34.1810988533986, -118.562234249688 34.1840658536533, -118.570970252007 34.1871628531233, -118.570980252371 34.1908998534614))",7.01
